ep,title,createAt,description,mention,content,attend,link,remark
EP30,那些不太主流但也好看的科幻片,2019/9/10,"說起科幻片，你會想到甚麼？ 是壯闊的宇宙冒險，還是高科技的未來描寫？ 然而有些科幻 並不是那麼的，恩，你知道，那麼的科幻 且聽我們娓娓道來 

下收一堆片單
彗星來的那一夜 (Coherence) 、滅絕 (Annihilation) 、異星入境 (Arrival) 、銀翼殺手2049 (Blade Runner 2049)、醉後末日 (The World's End) 、銀河便車指南 (The Hitchhiker's Guide to the Galaxy) 、駭客任務立體動畫特集 (The Animatrix) 、曠世奇片之死 (Jodorowsky's Dune) 、沙丘魔堡 (Dune) 、異形系列 (Alien) 、2001太空漫遊 (2001: A Space Odyssey) 

【補充】： 
＊丹尼·維勒納夫(Denis Villeneuve)：《異星入境》、《銀翼殺手2049》，以及接下來2020年新的《沙丘魔堡》的導演。 
＊艾德格·萊特(Edgar Wright)：翻轉類型電影(殭屍片/警探片/科幻片)的「血腥冰淇淋三部曲」導演，節目中提到了《醉後末日》。 
＊亞力克斯·嘉蘭(Alex Garland)：《滅絕》導演，曾執導《人造意識》，編劇《別讓我走》、《28天毀滅倒數》等知名科幻電影。",,,,https://open.firstory.me/story/ck0dyp626gtmb0786f5itz71k,
EP31,一起去看展吧,2019/9/25,沒有介紹,,,,https://open.firstory.me/story/ck161nemlh7f407866pu1nhu3,
EP32,那些挽救悲劇的時空旅人,2019/10/7,如果人生能夠重來，你會做出怎樣的決定？ 又或者如果能回到過去，你會寄望於怎樣的改變？ 改寫時空一直是科幻題材常見且受歡迎的類型 但在科幻宏大的外表下 往往我們仍然在面對各自私密的難題,,,,https://open.firstory.me/story/ck1ghg4z51qi20786mdmydjxa,
EP33,紙本雜誌存在的意義,2019/10/23,雜誌已死已經說了很多年 但市場上新雜誌還是不斷誕生 究竟雜誌有甚麼樣的魅力 能讓每個世代的編輯群捨身投入 一起來聽我們聊聊 紙本雜誌存在的意義,,,,https://open.firstory.me/story/ck223hl1o6zxp07869w2jeyvp,
EP34,日常系作品:療癒之必要,2019/11/6,生活已經那麼糟了 為什麼還要看嚴肅流血的作品虐待自己 讓我們一起逃進日常系作品的時空 享受她與他永不結束的美好日常,,,,https://open.firstory.me/story/ck2ngxzmrcl980869nwj9r8xq,
EP35,說笑話的人,2019/11/26,優秀的喜劇遠比悲劇來的困難 從單口喜劇到漫才、短劇 說笑話的人們用歡笑，重新解構生活中的無奈與困難,,,,https://open.firstory.me/story/ck3fzlst31k0h0869i16a9zot,
EP36,政治娛樂化可以嗎,2019/12/10,從政論節目到網路迷因 政治娛樂化無所不在，甚至成為網路的日常 我們如何面對這樣的狂熱,《全民大悶鍋》《卡提諾新聞》《眼球中央電台》,"一同視聽。片尾有尼爾大吃螺絲與說要做結尾宣傳詞錄音，但至今沒下落的渣男支票。

尼爾結論：娛樂化不能避免，與其批評不如思考為何能獲大眾支持，也可採同樣方法（娛樂化）反擊；我非對此類宣傳習慣反思重點為何，是否與己身價值觀相符。畢竟不做娛樂化（如獨立樂團、小眾電影），太認真反而不易傳播。",,https://open.firstory.me/story/ck3yom9891tvk08770zzsopso,
EP37,扭蛋裡的小宇宙,2020/1/6,小小一個扭蛋 為什麼讓收藏著們瘋狂? 從真的很可愛到怪的很可愛 每個驚喜的瞬間，都有無限的可能 讓我們來聊聊一不小心就扭下去的心情吧,,,,https://open.firstory.me/story/ck86pmweyorbm0873vot0n5qg,
EP38,台劇國片怎麼了,,,,,,,
EP39,是誰還在用噗浪,2020/3/5,提到噗浪 多數人不是不知道，就是直接回答：現在還有人在用嗎？ 是阿宅最後的淨土，還是小眾交流的天地 就讓尼爾 woffy 一起來幫大家解答吧,,,,https://open.firstory.me/story/ck86pmwf3orbq0873wlp5nxum,"尼爾：從這期開始會盡量維持周更
也是尼爾：我離上次錄音隔太久已經忘記麥克風放哪"
